"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","v_182","v_214","v_213","v_212","v_211","v_210","v_209","v_208","v_207","v_206","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","Dumb_response","right_change","SocDes","NFC"
34,44,0,"no tester","Completed (31)","2301002                     ",NA,941,NA,NA,"Yes","Male",43,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1," They're brother and sister. They should bee repulsed by each other.                                                                                                                                                                                          ","no harm mentioned",NA,7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason."," They're brother and sister. They could decide to do this again, and this time they could reproduce. Protection also isn't 100% either.                                                                                                                       ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","1: Not at all",7,"1: Not at all",1,"No","No","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","Yes"," When I was earning my bachelor's I took an ethics class.                                                                                                                                                                                                     ","Yes","I have this senario a couple of times in the past. Not presented look this though.                                                                                                                                                                            ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,2300984,2300985,230098","Not flipped","Flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","true","true","false","reasons","reasons",6,6
35,22,0,"no tester","Suspended (22)","2301001                     ",NA,547,NA,NA,"Yes","Male",42,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","For me, morals are established by God. Even if it seems harmless, when we violate morals, we are offending God. Therefore, we are sinning and putting our souls in grave danger.                                                                              ",1,"Anne is aware that incest is morally wrong.                                                                                                                                                                                                                   ","no harm mentioned","norms mentioned",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Incest is a grave sin. And while it seems like the situation was harmless, both people have offended God and are in spiritual danger.                                                                                                                         ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","1: Not at all",7,"7: Extremely",1,"Yes","No","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,2300984,230098","Flipped","Flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","false","false","false","reasons","reasons",6,6
36,31,0,"no tester","Completed (31)","2301002                     ",NA,709,NA,NA,"Yes","Female",55,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","No matter if any is watching or not, its just morally wrong to violate any establish norm. You should always follow the rules                                                                                                                                 ",1,"Anne knows what they did was against all her moral rights as well as in God's eyes. THats just disgusting                                                                                                                                                     ","no harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","What they did is wrong period. That is against what God says and we are all taught thats just wrong or should have been taught                                                                                                                                ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",4,"7: Extremely",1,"No","No","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","No","N/A                                                                                                                                                                                                                                                           ","No","N/A                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","https://s3.amazonaws.com/mturk_bulk/hits/271157966/xP_dVUw8KJhIejSU2fgXVQ.html?assignmentId=373ERPL3YO8H8GPMS0Z4ZCELZPJRTZ&hitId=3OJX0UFJ0Z7NH9AV8MKQP34C5D89UQ&workerId=A3BP890CXV4UMN&turkSubmitTo=https%3A%2F%2Fwww.mturk.com                              ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,230098","Not flipped","Flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","false","false","false","reasons","reasons",10,10
37,50,0,"no tester","Completed (31)","2301002                     ",NA,398,NA,NA,"Yes","Male",37,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Anne probably confirms to societal norms and taboos, so she would think that incest is morally wrong.                                                                                                                                                         ","no harm mentioned","norms mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is still dangerous because the risk of pregnancy still exists. They could produce some abnormal child.                                                                                                                                                     ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","1: Not at all","1: Not at all",7,"4: neutral",4,"No","No","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,2300984,2300985,230098","Not flipped","Not flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"neutral","true","true","true","false","reasons","reasons",6,6
38,71,0,"no tester","Completed (31)","2301002                     ",NA,821,NA,NA,"Yes","Female",40,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Even if it looks like no one was harmed immediate, someone could be harmed at a later time, when an established norm is violated.                                                                                                                             ",1,"Brothers and sisters are not suppose to be in love with each other. They are siblings. There focus should be on people other than family members.                                                                                                             ","no harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Although there actions did not harm anyone immediately, there is going to be a slip-up at some point in the future. There is a chance that they aren't going to wear protection, and may conceive a child, who will most likely have genetic issues.          ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","2","1: Not at all",7,"2",1,"No","No","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","https://s3.amazonaws.com/mturk_bulk/hits/271231541/xP_dVUw8KJhIejSU2fgXVQ.html?assignmentId=3ZGVPD4G6THQA7BD2HTHLFGK89ATZ8&hitId=3YLPJ8OXX8DE17YEWWZMS2S0D33X42&workerId=A34Z3DVUOHC61R&turkSubmitTo=https%3A%2F%2Fwww.mturk.com                              ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,230098","Not flipped","Not flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","false","false","false","reasons","reasons",5,5
39,20,0,"no tester","Suspended (22)","2301001                     ",NA,1360,NA,NA,"Yes","Male",38,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I try to hold myself to the highest moral standards as I understand them, with relegious background as my guide. These standards in my view should never be put aside or casted away. They are the backbone of modern society.                                ",4,"Even though casual sex could be considered as immoral. They both decided to make it a special experience by not doing it again . This shows self control                                                                                                      ","no harm mentioned","norms not mentioned",6,"No","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","It's wrong and I can provide a valid reason.","As a religious person I would not be able advocate casual sex with any other person except a spouse. I feel this study has neglected to consider relegious implications, and the way it would influence a decision                                            ","reason",NA,"It's wrong and I can provide a valid reason.",4,"2",4,"No, I am not able to believe this","No, I am not able to believe this","harm","3","5",3,"1: Not at all",2,"No","No","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,230098","Not flipped","Not flipped","HTML","1manip","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","wrong","not wrong",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","true","true","false","reasons","reasons",6,6
40,32,0,"no tester","Completed (31)","2301002                     ",NA,683,NA,NA,"Yes","Female",55,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Sometimes breaking certain moral norms might not hurt anyone directly, but might affect someone negatively.                                                                                                                                                   ",1,"Even though the brother and sister choose to make love, the act is morally wrong because it violates a social norm.                                                                                                                                           ","no harm mentioned","norms mentioned",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Incest is an immoral act and violates established social norms as well as biblical priciples                                                                                                                                                                  ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",7,"7: Extremely",1,"Yes","No","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","No","n/a                                                                                                                                                                                                                                                           ","No","n/a                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","https://s3.amazonaws.com/mturk_bulk/hits/271157966/xP_dVUw8KJhIejSU2fgXVQ.html?assignmentId=3F6HPJW4JD0SWDCV8FPELODCRRLW2F&hitId=3OJX0UFJ0Z7NH9AV8MKQP34C5D89UQ&workerId=ALVNLAB9WP9I4&turkSubmitTo=https%3A%2F%2Fwww.mturk.com                               ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,2300984,230098","Not flipped","Flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","false","false","false","reasons","reasons",3,3
41,28,0,"no tester","Completed (31)","2301002                     ",NA,586,NA,NA,"Yes","Male",32,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It is an established societal moral norm for a reason. Violating or breaking it is still wrong, just like breaking the law is wrong even if it does not harm anyone.  Therefore it should be avoided if at all possible.                                      ",1,"From a societal standpoint, this would be considered very morally wrong and forbidden.  People within a family dating or mating is considered taboo and is even against the law. To do so, even if they keep it a secret, is still wrong on the whole.        ","no harm mentioned","norms mentioned",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","1) it is against the law everywhere in the civilized world. 2) There are risks associated with close family members mating in such a way 3) if anyone ever found out, they would be ostracized and their lives (and others) could be ruined.                  ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","3","1: Not at all",7,"2",2,"No","No","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","https://s3.amazonaws.com/mturk_bulk/hits/271152057/xP_dVUw8KJhIejSU2fgXVQ.html?assignmentId=36PW28KO4ZWNKGL80UON50PAWB0EAG&hitId=388CL5C1RJNDDP5KXKGHBX6HBYIHLN&workerId=A39FCR701KYVNQ&turkSubmitTo=https%3A%2F%2Fwww.mturk.com                              ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,2300984,230098","Not flipped","Flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","false","false","false","reasons","reasons",7,7
42,66,0,"no tester","Completed (31)","2301002                     ",NA,323,NA,NA,"Yes","Female",42,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","God sees all sin as sin no matter what.  He judges not only if someone were hurt but he judges the thought process as well. I have to follow His words not my own.                                                                                            ",1,"God says it is wrong in the Bible, so it is wrong to do that with your brother.  It can also harm a baby if one is conceived which is slim chances but possible.                                                                                              ","no harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","God says it is wrong and he knows more than I do.  It also will impact conversations they have with future family members and it's like cheating on a future spouse.                                                                                          ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","7: Extremely confused",7,"1: Not at all",1,"No","No","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","Yes","I took general college and continuing education ethics courses.                                                                                                                                                                                               ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,230098","Flipped","Not flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","false","false","false","reasons","reasons",7,7
43,8,0,"no tester","Completed (31)","2301002                     ",NA,391,NA,NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Having sex with a sibling is not morally right, and is potentially harmful to others. Therefore, it cannot be justified as the right thing to do in any situation. Even if no one is physically harmed at the moment, the potential for emotional or mental ha","harm mentioned","norms mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Having sex with a sibling can create emotional harm down the road, and can destroy a family and even an extended family. For this reason, it can never be morally right.                                                                                      ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",6,"No, I am not able to believe this","No, I am not able to believe this","harm","5","2",7,"1: Not at all",1,"No","No","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,2300984,230098","Not flipped","Not flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","true","true","false","reasons","reasons",3,3
